 zcr, rms, centroid, rolloff, mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12, mfcc13,filename,duration[ms],age,gender,delta
0.0877,0.0784,945.6682,1383.01,-365.7456,108.0357,19.0781,21.3763,7.8494,-1.181,8.1786,-8.0348,-15.5888,-11.2298,-10.6069,-4.702,-7.947,common_voice_es_40220368.mp3,6012,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0081,0.0187,157.0623,280.006,-532.1895,29.0681,2.1003,4.8848,3.6713,-2.1796,-0.4981,-1.0197,-2.9615,-3.1614,-2.3183,-1.2537,-2.7454,common_voice_es_40230899.mp3,2016,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0491,0.0627,509.2551,760.002,-433.3545,89.7976,16.7226,16.8202,1.187,-11.3362,-1.9122,-6.8747,-7.6106,-5.1274,-10.657,-9.5376,-5.6682,common_voice_es_40230950.mp3,4176,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0574,0.0263,589.7937,899.2337,-510.1037,61.4126,6.4077,16.1465,7.4127,-3.8029,-0.1756,-9.1526,-9.1254,-3.4079,-4.6972,-1.8144,-2.6508,common_voice_es_40230975.mp3,4716,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0776,0.0527,742.4115,1078.42,-423.0744,106.1167,13.7856,18.6083,5.8065,-8.3559,-0.2279,-10.1293,-11.8912,-5.3167,-7.1292,-5.8955,-6.6289,common_voice_es_40230991.mp3,6480,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0536,0.0489,491.4867,739.8985,-423.1958,65.0319,14.7137,8.8641,1.2516,-5.9656,-2.4761,-6.8299,-10.315,-7.8158,-4.2692,-0.8896,-3.3814,common_voice_es_40230998.mp3,3888,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0421,0.0476,394.1618,625.199,-437.4719,64.0559,6.0865,13.3486,6.7697,-3.9579,0.2552,-8.5482,-10.3073,-3.9733,-5.3336,-3.2675,-3.2712,common_voice_es_40231042.mp3,3168,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0443,0.0725,511.4418,829.1202,-390.106,101.6052,9.0146,3.451,-1.5989,-9.5187,-4.0358,-11.5036,-13.4168,-5.848,-1.9763,-3.1488,-9.1345,common_voice_es_40231121.mp3,4140,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0759,0.0714,726.5458,1145.4,-404.5685,124.7378,21.404,16.4489,7.9196,-9.1105,-4.3967,-10.687,-16.7859,-12.2116,-8.3736,-5.5865,-7.5665,common_voice_es_40231141.mp3,6120,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0605,0.1022,567.1821,930.2349,-374.0509,91.8081,10.715,16.2403,5.4257,-9.5151,-6.5959,-19.7253,-21.5955,-8.2413,-3.9023,-7.1637,-9.4876,common_voice_es_40248686.mp3,3960,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0378,0.0489,376.2139,595.7902,-410.5085,54.1485,6.242,9.6608,6.7569,-6.9473,-8.9845,-8.6856,-4.9071,-1.2231,-3.4525,-6.0473,-6.3439,common_voice_es_40248741.mp3,3384,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0772,0.0518,747.9378,1125.6,-417.0226,98.4856,11.6661,17.8796,10.4382,-13.0166,-16.6585,-20.7459,-20.6762,-15.885,-8.8178,-7.0274,-12.9752,common_voice_es_40248797.mp3,6660,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0438,0.047,504.5002,799.8607,-424.8739,68.7121,8.08,11.9881,6.3174,-5.6705,-4.151,-10.8714,-14.1344,-8.6633,-7.6809,-7.9978,-10.9575,common_voice_es_40250602.mp3,4104,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0465,0.1178,450.6019,793.2424,-366.7295,98.6233,12.0005,11.5311,11.0174,-3.8147,-6.8095,-16.3244,-21.4282,-13.0448,-6.0339,-9.2894,-14.9004,common_voice_es_40250657.mp3,4716,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0444,0.039,459.7006,739.7492,-454.2327,73.4944,9.9886,11.5762,6.1826,-6.2726,-8.304,-17.2969,-16.0804,-7.2112,-7.8306,-11.3005,-11.506,common_voice_es_40250692.mp3,4140,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0587,0.0613,584.4029,887.1915,-395.5567,71.4551,17.3722,17.3339,11.0664,1.7469,1.511,-8.6376,-10.4434,-4.7417,-8.0564,-10.5462,-9.2511,common_voice_es_40254490.mp3,4752,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0886,0.0907,797.187,1118.73,-378.8719,76.5723,23.447,32.0259,11.9194,-5.6622,-3.1352,-16.3165,-17.6374,-13.2182,-18.8747,-15.8634,-11.2138,common_voice_es_40254501.mp3,5904,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0298,0.0718,326.5016,571.6063,-408.1546,62.818,7.7367,10.3018,12.6755,-0.5623,-4.0514,-6.8112,-10.0276,-7.0615,-4.7504,-6.7488,-7.758,common_voice_es_40254606.mp3,3276,senior,male,cv-corpus-18.0-delta-2024-06-14
0.062,0.0862,618.2879,936.6043,-384.019,64.4479,12.7392,21.174,9.1899,-4.3377,-1.7733,-11.7858,-12.514,-6.3073,-9.1244,-9.3177,-8.3404,common_voice_es_40254641.mp3,4140,senior,male,cv-corpus-18.0-delta-2024-06-14
0.2178,0.0645,2081.15,3253.28,-367.282,62.8043,13.1273,20.1714,7.851,10.461,-6.4889,10.2077,-4.4803,-16.6315,-5.4319,2.61,-18.877,common_voice_es_40259407.mp3,5544,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1804,0.0574,1649.58,2712.23,-380.4516,78.134,0.6442,13.782,13.4973,8.3711,-3.1222,9.043,-16.3116,-20.5335,-4.6994,0.8977,-13.7329,common_voice_es_40259414.mp3,4788,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1064,0.0799,1597.65,2374,-370.8012,50.502,3.5346,30.3876,16.4876,-15.1485,-13.7311,-7.5547,-13.9872,-5.4871,-3.235,-2.6456,-7.3237,common_voice_es_40271091.mp3,4500,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0357,0.0374,391.526,603.8018,-429.1173,25.6566,-4.5268,9.6003,4.0091,-4.3136,-6.5832,-2.4011,-4.2919,-2.8864,0.025,0.0052,-0.6069,common_voice_es_40271136.mp3,1728,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0645,0.0601,763.9241,1285.63,-403.7319,47.8046,5.2846,28.1041,16.4975,-5.5476,-13.7925,-6.5449,-10.945,-11.5251,-2.0873,-1.3385,-5.3213,common_voice_es_40271139.mp3,3636,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0732,0.0451,799.9707,1402.92,-447.1346,42.5641,5.759,21.8417,7.1876,-6.5602,-7.6177,-7.6126,-7.6788,-5.2176,-3.4406,-2.3043,-3.9929,common_voice_es_40271226.mp3,3060,senior,male,cv-corpus-18.0-delta-2024-06-14
0.1299,0.0829,1274.67,2110.72,-325.1584,93.0514,18.1322,27.7362,-2.9928,-11.9534,-14.0779,-19.2108,-18.7119,-12.4155,-6.9616,-8.312,-8.0075,common_voice_es_40271250.mp3,6264,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0722,0.0758,792.3049,1322.05,-355.8431,62.6404,0.6191,21.3793,9.5527,-5.4453,-18.348,-12.6706,-10.1463,-6.0334,2.3887,-3.3843,-8.0315,common_voice_es_40271278.mp3,4176,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0921,0.0444,979.7515,1509.01,-406.1582,40.1826,-3.7966,25.2643,10.8514,-8.3743,-16.5969,-4.9908,-5.4632,-4.195,-1.2048,0.6554,-4.7021,common_voice_es_40271302.mp3,4068,senior,male,cv-corpus-18.0-delta-2024-06-14
0.1197,0.1046,1282.47,2081.76,-330.2246,71.7604,-1.2969,32.216,14.7236,-11.5418,-22.4758,-18.4114,-15.7668,-7.8929,-0.7263,-3.2191,-11.1129,common_voice_es_40271368.mp3,5328,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0744,0.0736,808.696,1394.71,-385.9822,69.2019,0.3689,18.8816,10.1266,-10.2596,-16.2357,-12.5999,-12.5598,-4.3391,0.4484,0.6677,-7.5518,common_voice_es_40271424.mp3,3600,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0758,0.0757,748.2474,1211.63,-393.1342,57.4066,6.8588,27.9106,19.6371,-1.3004,-7.8975,-8.0282,-6.1254,-4.6459,-3.8989,-4.4842,-7.424,common_voice_es_40276230.mp3,3672,senior,male,cv-corpus-18.0-delta-2024-06-14
0.1357,0.0723,1401.37,2207.11,-392.819,62.8921,0.8366,40.548,29.6783,-5.162,-14.2602,-12.5213,-11.766,-4.1048,0.3918,-4.724,-7.9929,common_voice_es_40276243.mp3,4536,senior,male,cv-corpus-18.0-delta-2024-06-14
0.1024,0.0766,1004.25,1644.31,-395.1993,60.8677,5.7953,33.6105,27.0501,-5.5325,-16.6066,-13.8773,-9.3626,-4.5561,-2.5348,-4.1572,-7.6647,common_voice_es_40276379.mp3,4356,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0561,0.0736,615.936,1050.41,-383.6334,58.3864,16.5218,19.4881,14.2886,-5.4239,-13.4103,-10.2071,-12.7884,-7.0346,1.0884,-2.4842,-6.6393,common_voice_es_40276392.mp3,3456,senior,male,cv-corpus-18.0-delta-2024-06-14
0.1384,0.0598,1319.83,1866.59,-441.6394,73.9393,11.2835,39.0793,27.0153,-9.2695,-23.0908,-17.1408,-13.2226,-7.653,-5.267,-1.9922,-12.2331,common_voice_es_40276493.mp3,4536,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0721,0.081,746.3532,1289.06,-379.861,63.4526,7.899,25.497,24.0197,-1.5836,-11.9962,-11.5444,-12.3532,-7.5391,-6.4672,-3.6374,-5.9574,common_voice_es_40276545.mp3,4248,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0764,0.0662,836.6872,1337.18,-408.5822,62.5606,14.3479,31.9241,13.9631,-5.79,-12.7384,-12.4231,-11.1197,-4.7823,-2.8606,-3.2469,-5.3547,common_voice_es_40276635.mp3,4356,senior,male,cv-corpus-18.0-delta-2024-06-14
0.0626,0.0253,685.0149,1202.78,-508.4669,47.1556,-4.1085,9.534,3.1605,8.3589,4.8714,6.1981,-7.9968,-5.2635,-4.4337,-0.6068,-7.3876,common_voice_es_40288574.mp3,2124,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1861,0.0343,1762.96,2728.01,-437.8976,65.3723,-2.397,31.5734,21.0109,7.1871,-7.8491,7.4618,-14.5376,-18.3235,-10.1898,-0.6113,-13.2744,common_voice_es_40288575.mp3,5112,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1697,0.0519,1669.76,2665.7,-385.8275,70.7839,0.6066,16.8489,14.872,10.6621,-6.2034,6.121,-12.731,-15.2934,-5.3125,-2.5425,-18.1363,common_voice_es_40288593.mp3,4680,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1604,0.0467,1510.37,2549.81,-396.9744,73.8352,5.2178,15.0976,5.724,-0.55,-4.2398,4.871,-12.7983,-15.5921,-7.9126,2.0986,-14.5247,common_voice_es_40288600.mp3,4140,adult,male,cv-corpus-18.0-delta-2024-06-14
0.2106,0.0328,1956.63,3166.85,-414.8857,84.3174,-10.6563,19.411,17.8815,-8.2852,-7.5326,6.6968,-13.2676,-19.2141,-7.1294,-0.4583,-17.9341,common_voice_es_40288609.mp3,5832,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1528,0.047,1506.72,2527.72,-391.7829,96.0361,10.0643,30.5146,13.9193,-13.0118,-7.7302,12.0384,-24.1119,-18.982,-8.288,-5.2968,-17.2678,common_voice_es_40288624.mp3,6300,adult,male,cv-corpus-18.0-delta-2024-06-14
0.2073,0.0462,2002.52,3162.37,-361.541,74.3685,0.8014,11.4449,3.7879,-8.9333,-8.3462,17.6346,-20.9574,-30.1645,-3.9433,5.604,-21.6928,common_voice_es_40288632.mp3,6444,adult,male,cv-corpus-18.0-delta-2024-06-14
0.2012,0.0599,1887.04,3065.39,-324.1181,94.4378,-6.7867,20.7194,16.3445,-3.7511,-6.4092,11.1473,-25.6839,-30.0693,-3.3739,-2.6359,-18.7545,common_voice_es_40288638.mp3,6516,adult,male,cv-corpus-18.0-delta-2024-06-14
0.2557,0.0625,2352.33,3384.45,-374.5663,72.1647,9.9505,-3.7871,0.5077,3.7414,1.7497,4.1357,-14.1504,-8.5932,-6.2277,1.3395,-16.143,common_voice_es_40288647.mp3,5436,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1922,0.064,1656.01,2495.72,-366.4596,101.1687,7.9827,-0.6516,9.8251,1.2563,-11.7505,6.9417,-16.3195,-7.6918,-3.844,1.1316,-13.7189,common_voice_es_40288670.mp3,5472,adult,male,cv-corpus-18.0-delta-2024-06-14
0.1903,0.0366,2925.08,4105.64,-407.8644,38.4935,-20.001,24.0954,-5.9577,-9.9871,-20.6097,-12.1694,-16.6803,-1.4986,-15.8795,-3.5532,-3.7418,common_voice_es_40293828.mp3,8748,young,male,cv-corpus-18.0-delta-2024-06-14
0.2093,0.0351,2332.49,3489.4,-398.0561,55.8035,-8.8094,16.9267,-2.5192,-14.0849,-23.149,-12.9481,-13.5291,-3.4455,-15.2691,-0.1846,-6.5961,common_voice_es_40293836.mp3,8280,young,male,cv-corpus-18.0-delta-2024-06-14
0.1581,0.0207,2225.72,3385.5,-497.5754,28.7378,-9.063,13.6936,-2.3781,-7.6497,-12.6815,-6.947,-9.7405,1.6241,-8.6546,-0.0808,-4.5727,common_voice_es_40293837.mp3,4500,young,male,cv-corpus-18.0-delta-2024-06-14
0.1324,0.0403,1558.03,2360.42,-420.3581,45.9722,-13.719,3.2571,-11.9973,-2.5957,-14.4659,-8.81,-11.6013,0.3704,-6.5681,-1.5101,-5.4928,common_voice_es_40293838.mp3,4608,young,male,cv-corpus-18.0-delta-2024-06-14
0.1163,0.0793,1051.6,1519.21,-407.3637,61.2828,11.2343,33.3998,11.2431,-14.0757,-5.9262,-8.4816,-9.4385,-6.3443,-7.6954,-4.1505,-9.0922,common_voice_es_40299428.mp3,4500,senior,male,cv-corpus-18.0-delta-2024-06-14
0.1623,0.0558,1696.22,2534.58,-364.6817,55.4729,15.8287,10.5948,-7.2536,0.6174,-11.1681,-12.0264,-7.3438,-8.293,-9.3908,-1.3145,-7.4147,common_voice_es_40303491.mp3,5688,young,male,cv-corpus-18.0-delta-2024-06-14
0.1297,0.058,1338.17,2102.41,-375.0302,66.4166,13.5001,6.2146,-4.8911,3.9488,-8.6729,-12.9151,-7.0548,-10.2941,-9.9903,1.0383,-7.3699,common_voice_es_40303493.mp3,5400,young,male,cv-corpus-18.0-delta-2024-06-14
0.1471,0.0904,1954.23,3078.92,-335.8491,72.8535,16.6701,15.1956,-6.168,6.7824,-11.9882,-16.464,-10.8797,-5.1813,-10.9959,-4.0677,-9.6107,common_voice_es_40303495.mp3,6480,young,male,cv-corpus-18.0-delta-2024-06-14
0.1455,0.0524,1804.16,2729.7,-379.6652,83.2134,8.9298,2.4387,-9.4183,4.3559,-18.2094,-22.2113,-9.0997,-4.4336,-6.0119,-1.9416,-8.3132,common_voice_es_40303496.mp3,5436,young,male,cv-corpus-18.0-delta-2024-06-14
0.144,0.0493,1500.06,2433.72,-373.586,61.4999,11.8703,10.1396,2.2284,4.4761,-11.6618,-16.9869,-9.3526,-5.1831,-11.8865,-2.8398,-9.0869,common_voice_es_40303497.mp3,5256,young,male,cv-corpus-18.0-delta-2024-06-14
0.0512,0.052,689.5547,1224.72,-406.1366,54.0218,4.4675,7.683,-6.3769,-0.8009,-3.741,-12.5475,-5.0492,-6.3153,-5.2428,-0.5349,-5.1403,common_voice_es_40303513.mp3,3888,young,male,cv-corpus-18.0-delta-2024-06-14
0.0884,0.0671,1080.09,1930.53,-358.9106,76.5911,6.0218,12.2614,-6.6256,3.2068,-5.0741,-20.0274,-8.806,-2.9361,-11.1197,-3.6922,-4.7695,common_voice_es_40303514.mp3,4860,young,male,cv-corpus-18.0-delta-2024-06-14
0.1765,0.0634,1788.31,2746.22,-347.2633,79.1084,17.7332,8.0513,-11.5349,6.2668,-12.0401,-22.1424,-8.8741,-2.0229,-8.7306,-4.7307,-9.8144,common_voice_es_40303515.mp3,6300,young,male,cv-corpus-18.0-delta-2024-06-14
0.0763,0.0285,929.3283,1601.11,-430.3399,51.6659,9.4863,7.7342,-6.6561,2.8072,-6.2397,-10.6512,-5.6738,-3.9647,-5.5108,-2.3278,-4.7667,common_voice_es_40303543.mp3,4176,young,male,cv-corpus-18.0-delta-2024-06-14
0.0338,0.0318,417.989,709.1959,-439.4818,26.2133,4.1896,7.2383,-2.1883,0.6177,-2.7209,-8.6798,-4.4746,-3.099,-3.4461,0.0373,-3.5693,common_voice_es_40303544.mp3,2736,young,male,cv-corpus-18.0-delta-2024-06-14
0.0483,0.0397,612.0042,1078.72,-431.523,43.7941,4.9839,9.7903,-6.2268,3.078,-6.5521,-13.0675,-2.9476,-2.8843,-5.3278,-1.8367,-4.4682,common_voice_es_40303545.mp3,3240,young,male,cv-corpus-18.0-delta-2024-06-14
0.1367,0.1037,1599.28,2595.14,-291.7353,89.329,2.9078,25.9902,-8.7525,-1.6934,-18.3914,-26.3487,-14.2841,-11.7765,-8.4385,-4.1583,-5.7099,common_voice_es_40303546.mp3,6408,young,male,cv-corpus-18.0-delta-2024-06-14
0.0992,0.0446,1079.82,1826.53,-418.3386,42.2311,10.9958,6.1663,-6.2335,0.0824,-8.7822,-6.6551,-4.8435,-5.6123,-7.4726,0.4401,-5.9602,common_voice_es_40303547.mp3,4068,young,male,cv-corpus-18.0-delta-2024-06-14
0.1213,0.0499,1226.74,1931.28,-407.9059,45.4556,14.3254,16.9403,-1.4305,-2.8823,-9.0478,-8.754,-5.4139,-4.6748,-9.1872,0.4379,-4.7494,common_voice_es_40303575.mp3,4500,young,male,cv-corpus-18.0-delta-2024-06-14
0.1709,0.0502,1702.7,2763.58,-363.7034,55.3181,8.0493,17.2445,1.4836,-1.6434,-13.9319,-11.9472,-2.5697,-1.6848,-8.5494,0.8591,-3.6834,common_voice_es_40303576.mp3,5796,young,male,cv-corpus-18.0-delta-2024-06-14
